Value of v is: (0.367, 0.254)
(-0.7023948, -0.0014056277)
(-0.6991703, 0.004870937)
(-0.68845123, 0.0060464563)
(-0.68522674, 0.012323021)
(-0.6779168, -0.049686953)
(-0.67469233, -0.04341039)
(-0.6639733, -0.042234868)
(-0.6607488, -0.035958305)
(-0.6427265, -0.053736724)
(-0.639502, -0.04746016)
(-0.6287829, -0.04628464)
(-0.62555844, -0.040008076)
(-1.3744414, 0.040008076)
(-1.371217, 0.04628464)
(-1.360498, 0.04746016)
(-1.3572736, 0.053736724)
(-1.339251, 0.035958305)
(-1.3360267, 0.042234868)
(-1.3253076, 0.04341039)
(-1.3220832, 0.049686953)
(-1.3147731, -0.012323021)
(-1.3115487, -0.0060464563)
(-1.3008296, -0.004870937)
(-1.2976053, 0.0014056277)
(-1.2795827, -0.016372792)
(-1.2763584, -0.010096229)
(-1.2656393, -0.00892071)
(-1.2624149, -0.002644145)
(-1.331239, -0.13248385)
(-1.3280146, -0.12620728)
(-1.3172956, -0.12503177)
(-1.3140712, -0.11875521)
(-1.2960486, -0.13653363)
(-1.2928243, -0.13025706)
(-1.2821052, -0.12908156)
(-1.2788808, -0.12280499)
(-1.2715707, -0.18481494)
(-1.2683463, -0.17853837)
(-1.2576272, -0.17736287)
(-1.2544029, -0.1710863)
(-1.2363803, -0.18886472)
(-1.233156, -0.18258815)
(-1.2224369, -0.18141265)
(-1.2192125, -0.17513607)
(-1.5147874, -0.33286393)
(-1.5115631, -0.32658738)
(-1.500844, -0.32541186)
(-1.4976196, -0.3191353)
(-1.4795971, -0.3369137)
(-1.4763727, -0.33063716)
(-1.4656537, -0.32946163)
(-1.4624293, -0.3231851)
(-1.4551191, -0.38519502)
(-1.4518948, -0.37891847)
(-1.4411757, -0.37774295)
(-1.4379513, -0.3714664)
(-1.4199288, -0.3892448)
(-1.4167044, -0.38296825)
(-1.4059854, -0.38179272)
(-1.402761, -0.37551618)
(-1.471585, -0.5053559)
(-1.4683607, -0.49907932)
(-1.4576416, -0.49790376)
(-1.4544172, -0.49162722)
(-1.4363947, -0.5094057)
(-1.4331703, -0.50312907)
(-1.4224513, -0.50195354)
(-1.4192269, -0.495677)
(-1.4119167, -0.557687)
(-1.4086924, -0.5514104)
(-1.3979733, -0.55023485)
(-1.3947489, -0.54395825)
(-1.3767264, -0.56173676)
(-1.373502, -0.55546016)
(-1.362783, -0.55428463)
(-1.3595586, -0.548008)
(1.359764, 0.5464468)
(1.3593532, 0.54956925)
(1.3629884, 0.5527234)
(1.3625776, 0.55584586)
(1.3737074, 0.55389893)
(1.3732966, 0.5570214)
(1.3769318, 0.56017554)
(1.376521, 0.563298)
(1.3949543, 0.542397)
(1.3945435, 0.5455195)
(1.3981787, 0.5486736)
(1.3977679, 0.5517961)
(1.4088978, 0.54984915)
(1.408487, 0.5529716)
(1.4121221, 0.55612576)
(1.4117113, 0.5592482)
(1.4194323, 0.49411574)
(1.4190215, 0.49723825)
(1.4226567, 0.5003923)
(1.4222459, 0.50351477)
(1.4333757, 0.50156784)
(1.4329649, 0.5046903)
(1.4366001, 0.50784445)
(1.4361893, 0.5109669)
(1.4546226, 0.49006596)
(1.4542118, 0.49318847)
(1.457847, 0.4963425)
(1.4574362, 0.49946502)
(1.4685661, 0.49751806)
(1.4681553, 0.5006406)
(1.4717904, 0.50379467)
(1.4713796, 0.5069171)
(1.4029664, 0.37395492)
(1.4025556, 0.37707743)
(1.4061908, 0.38023147)
(1.40578, 0.38335398)
(1.4169098, 0.381407)
(1.416499, 0.3845295)
(1.4201342, 0.38768354)
(1.4197234, 0.39080605)
(1.4381567, 0.36990514)
(1.4377459, 0.37302765)
(1.4413811, 0.3761817)
(1.4409703, 0.3793042)
(1.4521002, 0.3773572)
(1.4516894, 0.38047972)
(1.4553245, 0.38363376)
(1.4549137, 0.38675627)
(1.4626347, 0.32162383)
(1.4622239, 0.32474634)
(1.465859, 0.32790038)
(1.4654483, 0.3310229)
(1.4765781, 0.3290759)
(1.4761673, 0.3321984)
(1.4798025, 0.33535245)
(1.4793917, 0.33847496)
(1.497825, 0.31757405)
(1.4974142, 0.32069656)
(1.5010494, 0.3238506)
(1.5006386, 0.3269731)
(1.5117685, 0.32502612)
(1.5113577, 0.32814863)
(1.5149928, 0.33130267)
(1.514582, 0.33442518)
(1.2194179, 0.17357482)
